codusu,ano4,trimestre,region,aglomerado,fecha_nacimiento,edad,asistencia_educacion,nivel_ed,tipo_establecimiento,codigo_actividad,sexo,categoria_ocupacion,cat_cantidad_empleos,alfabetismo,educacion,experiencia_potencial,salario_horario
TQRMNOQTVHKOMLCDEGJBF00789096,2022,3,Pampeana,13,27/06/1994,28,asistio,"Secundaria
Completa",Privada,8200,Mujer,Obrero o empleado,unico,Sabe leer y escribir,13,10,583.333333333333
TQRMNOQPPHJNLTCDEGGFB00783038,2022,3,Cuyo,10,29/04/1995,27,asistio,"Superior
Universitaria
Completa",Estatal,8600,Varon,Obrero o empleado,multiples,Sabe leer y escribir,16,6,275
TQRMNOSSVHJLKOCDEFNFF00782561,2022,3,Noreste,7,22/05/1982,40,asistio,"Superior
Universitaria
Incompleta",Privada,4805,Mujer,Obrero o empleado,unico,Sabe leer y escribir,15,20,250
TQRMNOPQPHJOKTCDEIHJF00785222,2022,3,Patagonia,31,10/09/1994,28,asistio,"Secundaria
Completa",Privada,8509,Mujer,Obrero o empleado,unico,Sabe leer y escribir,13,10,857.142857142857
TQRMNOQTYHJNMMCDEIKAH00792489,2022,3,Pampeana,34,01/01/1900,18,asiste actualmente,"Secundaria
Incompleta",Privada,8102,Varon,Obrero o empleado,unico,Sabe leer y escribir,12,1,234.375
TQRMNOQUPHMMLQCDEHMHF00710312,2022,3,Cuyo,26,12/12/1963,58,asistio,"Superior
Universitaria
Completa",Estatal,8600,Mujer,Obrero o empleado,unico,Sabe leer y escribir,19,34,750
TQRMNOSTSHMOKUCDEOHCH00720162,2022,3,Patagonia,91,23/07/1995,27,asistio,"Superior
Universitaria
Completa",Estatal,8401,Mujer,Obrero o empleado,unico,Sabe leer y escribir,16,6,625
TQRMNORQTHLOLQCDEFJAH00704154,2022,3,Pampeana,3,19/08/1961,60,asistio,"Secundaria
Incompleta",Privada,4000,Varon,Obrero o empleado,unico,Sabe leer y escribir,9,46,225.694444444444
TQRMNOQVVHLMLRCDEHNHB00707807,2022,3,Cuyo,27,08/10/1996,25,asiste actualmente,"Superior
Universitaria
Incompleta",Privada,48,Mujer,Cuenta propia,unico,Sabe leer y escribir,15,5,116.666666666667
TQRMNOUPUHJOKPCDEIHJF00785240,2022,3,Patagonia,31,22/11/1997,24,asistio,"Secundaria
Incompleta",Privada,9602,Mujer,Cuenta propia,unico,Sabe leer y escribir,11,8,833.333333333333
TQRMNOPXQHLNNPCDEIJAH00713597,2022,3,Gran Buenos Aires,33,08/05/1983,39,asistio,"Secundaria
Incompleta",Privada,3200,Varon,Obrero o empleado,unico,Sabe leer y escribir,10,24,450
TQRMNORYPHLOLSCDEFIAH00708973,2022,3,Pampeana,2,10/07/1977,45,asistio,"Secundaria
Incompleta",Privada,8800,Mujer,Obrero o empleado,unico,Sabe leer y escribir,11,29,588.888888888889
TQRMNOPPVHKMKOCDEHJGH00790186,2022,3,Noroeste,23,19/04/1994,28,asiste actualmente,"Superior
Universitaria
Incompleta",Privada,4804,Varon,Cuenta propia,unico,Sabe leer y escribir,14,9,357.142857142857
TQRMNOPSTHKNPOCDEIJAH00792066,2022,3,Gran Buenos Aires,33,05/08/2002,20,asistio,"Secundaria
Completa",Privada,1502,Mujer,Obrero o empleado,unico,Sabe leer y escribir,13,2,104.166666666667
TQRMNOQYXHLKKNCDEGNFJ00705532,2022,3,Patagonia,17,08/04/1981,41,asistio,"Secundaria
Completa",Estatal,8401,Varon,Obrero o empleado,unico,Sabe leer y escribir,13,23,937.5
TQRMNOPVYHKMLNCDEFNFF00788207,2022,3,Noreste,7,02/12/1989,32,asistio,"Primaria
Completa",Privada,4903,Varon,Obrero o empleado,unico,Sabe leer y escribir,8,19,446.428571428571
TQRMNOQPUHJOLPCDEFOCD00782745,2022,3,Noreste,8,26/02/1989,33,asistio,"Secundaria
Completa",Otra,9409,Mujer,Obrero o empleado,unico,Sabe leer y escribir,13,15,263.888888888889
TQRMNORQUHKOMPCDEFKID00787663,2022,3,Pampeana,4,01/01/1900,53,asistio,"Primaria
Incompleta",Privada,4810,Varon,Cuenta propia,unico,Sabe leer y escribir,3,45,185.185185185185
